Название,Продажи,Серия,Платформа(ы),Дата выхода,Разработчик(и),Издатель(и),Ист.
Minecraft,300 000 000,Minecraft,Мультиплатформенный,18 ноября 2011,Mojang Studios,Xbox Game Studios,[1]
Grand Theft Auto V,200 000 000,Grand Theft Auto,Мультиплатформенный,17 сентября 2013,Rockstar North,Rockstar Games,[2]
Tetris (EA)[a],100 000 000,Tetris,Мобильные телефоны,6 июня 1984,Electronic Arts,Electronic Arts,[3][4]
Wii Sports,82 900 000,Wii,Wii,19 ноября 2006,Nintendo EAD,Nintendo,[5]
PUBG: Battlegrounds,75 000 000,Krafton,Мультиплатформенный,20 декабря 2017,PUBG Corporation,PUBG Corporation,[6]
Mario Kart 8 / Deluxe,69 040 000,Mario Kart,Wii U / Switch,29 мая 2014,Nintendo EAD,Nintendo,[b]
Red Dead Redemption 2,64 000 000,Red Dead,Мультиплатформенный,26 октября 2018,Rockstar Studios,Rockstar Games,[2]
The Elder Scrolls V: Skyrim,60 000 000,The Elder Scrolls,Мультиплатформенный,11 ноября 2011,Bethesda Game Studios,Bethesda Softworks,[9]
Super Mario Bros.,58 000 000,Super Mario,Мультиплатформенный,13 сентября 1985,Nintendo R&D4,Nintendo,[c]
The Witcher 3 / Hearts of Stone / Blood and Wine,50 000 000,The Witcher,Мультиплатформенный,19 мая 2015,CD Projekt Red,CD Projekt,[13]
Pokémon Red / Green / Blue / Yellow,47 520 000,Pokémon,Game Boy / Color,27 февраля 1996,Game Freak,Nintendo,[d]
Terraria,44 500 000,Terraria,Мультиплатформенный,16 мая 2011,Re-Logic,Re-Logic / 505 Games,[17]
Wii Fit / Plus,43 800 000,Wii,Wii,1 декабря 2007,Nintendo EAD,Nintendo,[5]
Tetris (Nintendo),43 000 000,Tetris,Game Boy / NES,14 июня 1989,Nintendo R&D1,Nintendo,[e]
Animal Crossing: New Horizons,42 210 000,Animal Crossing,Nintendo Switch,20 марта 2020,Nintendo EPD,Nintendo,[8]
Pac-Man,42 071 635,Pac-Man,Мультиплатформенный,22 мая 1980,Namco,Namco,
Mario Kart Wii,37 380 000,Mario Kart,Wii,10 апреля 2008,Nintendo EAD,Nintendo,[5]
Wii Sports Resort,33 140 000,Wii,Wii,25 июня 2009,Nintendo EAD,Nintendo,[5]
New Super Mario Bros.,30 800 000,Super Mario,Nintendo DS,15 мая 2006,Nintendo EAD,Nintendo,[20]
New Super Mario Bros. Wii,30 320 000,Super Mario,Wii,11 ноября 2009,Nintendo EAD,Nintendo,[5]
Call of Duty: Modern Warfare,30 000 000,Call of Duty,Мультиплатформенный,25 октября 2019,Infinity Ward,Activision,[21]
Diablo III / Reaper of Souls,Diablo,Мультиплатформенный,16 мая 2012,Blizzard Entertainment,Blizzard Entertainment,[22],
Human: Fall Flat,,Мультиплатформенный,22 июля 2016,No Brakes Games,Curve Digital,[23],
Pokémon Gold / Silver / Crystal,29 490 000,Pokémon,Game Boy Color,21 ноября 1999,Game Freak,Nintendo,
Duck Hunt,28 300 000,Duck Hunt,NES,21 апреля 1984,Nintendo R&D1,Nintendo,[24]
The Legend of Zelda: Breath of the Wild,28 240 000,The Legend of Zelda,Wii U / Switch,3 марта 2017,Nintendo EPD,Nintendo,
Super Smash Bros. Ultimate,28 170 000,Super Smash Bros.,Nintendo Switch,7 декабря 2018,Bandai Namco Studios / Sora Ltd.,Nintendo,[8]
Wii Play,28 020 000,Wii,Wii,2 декабря 2006,Nintendo EAD,Nintendo,[5]
The Walking Dead: The Game,28 000 000,The Walking Dead,Мультиплатформенный,24 апреля 2012,Telltale Games,Telltale Games,[25]
Grand Theft Auto: San Andreas,27 500 000,Grand Theft Auto,Мультиплатформенный,26 октября 2004,Rockstar North,Rockstar Games,[26]
Super Mario World,26 662 500,Super Mario,Мультиплатформенный,21 ноября 1990,Nintendo EAD,Nintendo,
Call of Duty: Modern Warfare 3,26 500 000,Call of Duty,Мультиплатформенный,8 ноября 2011,Infinity Ward / Sledgehammer,Activision,[27]
Call of Duty: Black Ops,26 200 000,Call of Duty,Мультиплатформенный,9 ноября 2010,Treyarch,Activision,[27]
Borderlands 2,26 000 000,Borderlands,Мультиплатформенный,18 сентября 2012,Gearbox Software,2K Games,[28]
Pokémon Sun / Moon / Ultra Sun / Ultra Moon,25 370 000,Pokémon,Nintendo 3DS,18 ноября 2016,Game Freak,Nintendo / The Pokémon Company,
Grand Theft Auto IV,25 000 000,Grand Theft Auto,Мультиплатформенный,29 апреля 2008,Rockstar North,Rockstar Games,[29]
Pokémon Diamond / Pearl / Platinum,24 730 000,Pokémon,Nintendo DS,28 сентября 2006,Game Freak,Nintendo / The Pokémon Company,
Super Mario Bros. 3,24 430 000,Super Mario,Мультиплатформенный,23 октября 1988,Nintendo EAD,Nintendo,
Pokémon Sword / Shield,24 270 000,Pokémon,Nintendo Switch,15 ноября 2019,Game Freak,Nintendo / The Pokémon Company,[8]
Call of Duty: Black Ops II,24 200 000,Call of Duty,Мультиплатформенный,12 ноября 2012,Treyarch,Activision,[27]
FIFA 18,24 000 000,FIFA,Мультиплатформенный,29 сентября 2017,EA Vancouver,EA Sports,[30]
Kinect Adventures!,,Xbox 360,4 ноября 2010,Good Science Studio,Xbox Game Studios,[31],
Sonic the Hedgehog,23 982 960,Sonic the Hedgehog,Мультиплатформенный,23 июня 1991,Sonic Team,Sega,
Nintendogs,23 960 000,,Nintendo DS,21 апреля 2005,Nintendo EAD,Nintendo,[20]
Mario Kart DS,23 600 000,Mario Kart,Nintendo DS,14 ноября 2005,Nintendo EAD,Nintendo,[20]
Super Mario Odyssey,23 500 000,Super Mario,Nintendo Switch,27 октября 2017,Nintendo EPD,Nintendo,[8]
Red Dead Redemption,23 000 000,Red Dead,PS3 / Xbox 360,18 мая 2010,Rockstar San Diego,Rockstar Games,[32]
Super Mario 64 / DS,22 960 000,Super Mario,Nintendo 64 / DS,23 июня 1996 / 21 ноября 2004,Nintendo EAD,Nintendo,[33]
Call of Duty: Modern Warfare 2,22 700 000,Call of Duty,Мультиплатформенный,10 ноября 2009,Infinity Ward,Activision,[27]
Pokémon Ruby / Sapphire / Emerald,22 540 000,Pokémon,Game Boy Advance,21 ноября 2002,Game Freak,Nintendo / The Pokémon Company,
